Week,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,First Downs,Touchdowns,Fumbles,Interceptions,Conduct,Total Points
2,T.Way,WAS,0,0.0,0.0,0.0,2,0.75,0.0,2,1.5,0.0,0.0,0.6000000000000001,0.30000000000000004,0.5,-0.25,0,0,-0.0,-0.0,0,7.3999999999999995
2,B.Pinion,SF,0,0.0,0.5,0.1,1,0.0,0.0,4,0.75,0.5,0.0,-0.1142857142857146,0.9,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,7.935714285714285
2,J.Ryan,SEA,0,0.0,0.75,0.1,2,0.0,0.0,3,0.75,0.0,0.0,-0.08571428571428541,-0.4333333333333334,0.2,-0.25,0,0,-0.0,-0.0,0,6.030952380952381
2,M.Bosher,ATL,0,0.0,0.75,0.0,1,0.0,0.0,3,0.0,0.0,0.0,-0.375,0,0.5,-0.0,0,0,-0.0,-0.0,0,4.875
2,J.Vogel,GB,0,0.0,0.0,0.0,0,0.0,0.0,1,0.75,0.0,0.0,-0.5333333333333335,0.9,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,2.416666666666666
2,J.Locke,DET,0,0.0,0.75,0.0,1,0.0,0.0,3,0.75,0.0,0.0,-0.3200000000000003,0.45,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,5.93
2,B.Wing,NYG,0,0.0,0.25,0.1,2,0.75,0.0,0,0.0,0.0,0.0,0.27999999999999975,-2.466666666666667,0.2,-0.0,0,0,-0.0,-0.0,0,1.113333333333333
3,B.Pinion,SF,0,0.0,0.25,0.0,1,0.0,0.0,2,0.0,0.0,0.0,-0.35000000000000003,0.9,0.5,-0.25,0,0,-0.0,-0.0,0,4.05
3,J.Hekker,LA,0,0.0,0.0,0.0,1,0.75,0.0,0,0.0,0.0,0.0,1.1500000000000001,0.45,0.7000000000000001,-0.0,0,0,-0.0,-0.0,0,4.050000000000001
3,S.Koch,BAL,0,0.4,0.25,0.1,2,0.75,0.0,1,0.0,0.0,0.0,-0.05714285714285694,0.8,0.1,-0.0,0,0,-0.0,-0.0,0,5.3428571428571425
3,B.Nortman,JAX,0,0.0,0.5,0.1,2,0.75,0.0,1,0.75,0.0,0.0,0.5,0,0.8,-0.0,0,0,-0.0,-0.0,0,6.3999999999999995
3,R.Dixon,DEN,0,0.4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.3333333333333336,-0.1,0.4,-0.0,0,0,-0.0,-0.0,0,0.3666666666666665
