Week,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards,Holds,Misses,First Downs,TD,Fumbles,Int,Conduct
4,B.Colquitt,CLE,6,295,0,0,0,0,3,0,0,1,0,0,0,6,73,1,1,0,0,0,0,0
4,K.Huber,CIN,4,191,0,0,1,0,2,0,0,2,1,0,0,3,4,5,0,0,0,0,0,0
4,J.Hekker,LA,2,108,0,0,0,0,1,1,0,2,0,0,0,1,0,9,0,0,0,0,0,0
4,C.Jones,DAL,3,141,0,0,0,0,1,0,0,1,0,0,0,3,20,4,0,0,0,0,0,0
4,B.Kern,TEN,5,246,0,0,1,1,2,0,0,1,0,0,0,3,4,2,0,0,0,0,0,0
4,S.Lechler,HOU,2,122,0,0,0,0,2,2,0,1,1,0,0,1,3,8,1,0,0,0,0,0
4,J.Locke,DET,7,325,0,0,2,0,2,0,0,3,1,0,0,4,16,2,1,0,0,0,0,0
4,R.Quigley,MIN,5,201,0,0,2,3,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0
4,R.Allen,NE,3,135,0,0,0,0,0,0,0,0,0,0,0,2,25,6,0,0,0,0,0,0
4,M.Palardy,CAR,1,35,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
4,L.Edwards,NYJ,6,262,0,1,3,1,1,1,1,3,1,0,0,1,0,5,1,1,0,0,0,0
4,B.Nortman,JAX,8,361,0,0,5,1,3,1,0,5,3,1,0,1,7,3,1,0,0,0,0,0
4,B.Pinion,SF,7,351,0,0,3,0,5,0,0,3,0,0,0,4,12,5,0,0,0,0,0,0
4,A.Lee,ARI,6,293,0,0,1,1,4,2,0,2,0,0,0,4,41,4,0,0,0,0,0,0
4,D.Kaser,LAC,4,191,0,1,0,0,2,0,0,2,0,0,0,3,15,4,0,0,0,0,0,0
4,D.Jones,PHI,2,95,0,0,0,0,1,0,0,2,0,0,0,2,3,6,0,0,0,0,0,0
4,B.Wing,NYG,5,205,0,1,0,1,1,0,0,0,0,0,0,2,16,3,1,0,0,0,0,0
4,B.Anger,TB,4,199,0,0,1,1,2,1,0,2,1,1,0,0,0,3,3,0,0,0,0,0
4,R.Dixon,DEN,6,271,0,0,1,1,2,0,0,3,2,1,1,2,8,4,1,0,0,0,0,0
4,M.King,OAK,6,306,0,0,0,2,3,0,0,2,1,0,0,4,38,2,0,0,0,0,0,1
4,R.Sanchez,IND,6,250,0,0,2,1,1,1,0,2,2,1,1,0,0,2,0,0,0,0,0,0
4,J.Ryan,SEA,1,35,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0
4,D.Colquitt,KC,3,105,0,1,1,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0
4,T.Way,WAS,4,169,0,1,2,0,2,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0
5,B.Anger,TB,6,271,0,0,1,1,3,0,0,3,1,1,0,3,51,2,3,0,0,0,0,0
5,R.Allen,NE,4,188,0,0,0,0,3,0,0,1,1,1,0,3,29,5,0,0,0,0,0,0
5,K.Huber,CIN,4,187,0,0,0,1,0,0,0,3,0,0,0,2,41,4,0,0,0,0,0,0
5,C.Schmidt,BUF,7,315,0,2,1,0,2,0,0,3,0,0,0,4,4,4,0,0,0,0,0,0
5,L.Edwards,NYJ,6,309,0,1,1,1,3,2,0,1,0,0,0,2,28,3,0,0,0,0,0,0
5,B.Colquitt,CLE,2,113,0,0,0,0,2,1,0,0,0,0,0,2,16,2,2,0,0,0,0,0
5,J.Locke,DET,5,206,0,0,2,2,1,0,0,1,0,0,0,1,13,4,0,0,0,0,0,0
5,M.Palardy,CAR,5,234,0,1,3,0,2,1,0,0,0,0,0,1,6,5,1,0,0,0,0,0
5,B.Pinion,SF,6,274,0,0,1,3,3,0,0,1,0,0,0,2,5,5,0,0,0,0,0,0
5,R.Sanchez,IND,4,191,0,0,1,1,3,0,0,4,1,0,0,1,0,6,0,0,0,0,0,0
5,B.Kern,TEN,10,549,0,0,1,1,5,4,1,4,1,1,0,7,47,2,0,0,0,0,0,0
5,M.Haack,MIA,9,459,0,0,1,2,5,1,0,5,3,0,0,2,14,1,1,0,0,0,0,0
5,D.Kaser,LAC,6,333,0,1,1,1,5,2,0,1,0,0,0,3,38,5,0,0,0,0,0,0
5,B.Wing,NYG,8,353,0,1,2,0,3,0,0,4,2,2,0,3,35,2,0,0,0,0,0,0
5,A.Lee,ARI,7,347,0,0,1,1,4,0,0,1,0,0,0,3,110,1,0,0,0,0,0,0
5,D.Jones,PHI,3,129,0,0,1,1,1,0,0,1,0,0,0,1,7,6,0,0,0,0,0,0
5,B.Nortman,JAX,5,190,0,0,1,2,0,0,0,3,2,1,0,1,0,3,0,0,0,0,0,0
5,J.Berry,PIT,3,134,0,0,1,1,2,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0
5,J.Ryan,SEA,6,237,0,0,2,0,0,0,0,2,2,0,0,2,0,4,0,0,0,0,0,0
5,J.Hekker,LA,3,136,0,0,1,1,1,1,0,0,0,0,0,1,10,2,1,0,0,0,0,0
5,M.King,OAK,4,197,0,1,1,0,1,1,0,0,0,0,0,2,19,3,0,0,0,0,0,0
5,S.Koch,BAL,3,117,0,0,0,2,0,0,0,1,1,0,0,1,7,5,0,0,0,0,0,0
5,J.Vogel,GB,2,97,0,0,1,0,1,0,0,1,0,0,0,1,-1,3,2,0,0,0,0,0
5,C.Jones,DAL,1,38,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
5,S.Lechler,HOU,5,240,0,0,0,1,3,0,0,3,0,0,0,4,79,2,0,0,0,0,0,0
5,D.Colquitt,KC,2,86,0,0,0,0,1,0,0,0,0,0,0,1,49,7,0,0,0,0,0,0
5,P.O'Donnell,CHI,7,307,0,2,0,2,3,0,0,2,0,0,0,3,41,1,0,1,1,0,0,0
5,R.Quigley,MIN,6,258,0,0,2,0,1,0,0,2,0,0,0,4,25,4,0,0,0,0,0,0
