Week,Owner,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Total Points
2,Connor,M.Bosher,ATL,0,0.4,0.0,0.0,3,0.75,0.0,0,0.0,0.0,0.0,0.9600000000000002,0.75,5.86
2,Free Agent,B.Wing,NYG,0,0.0,0.5,0.0,0,0.0,0.0,3,0.75,0.5,0.0,-0.4,0.1,4.449999999999999
2,Free Agent,J.Hekker,STL,0,0.0,0.5,0.15,3,0.0,0.0,4,0.0,0.0,0.0,0.2625,-0.66,7.2525
2,Free Agent,T.Way,WAS,0,0.4,0.0,0.15,2,0.0,0.0,1,0.0,0.0,0.0,-0.43333333333333357,0,3.1166666666666663
2,Bandit,P.O'Donnell,CHI,0,0.4,0.25,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.07999999999999972,-0.6000000000000001,2.1299999999999994
2,Free Agent,D.Butler,ARI,0,0.0,0.25,0.0,1,0.0,0.0,2,0.75,0.5,0.0,-0.46666666666666645,0.1,4.133333333333333
2,Fed,S.Martin,DET,0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,-0.07500000000000001,0.4,3.3249999999999997
2,Free Agent,J.Locke,MIN,0,0.0,0.5,0.0,1,0.0,0.0,2,0.75,0.0,0.0,-0.03333333333333357,-0.7000000000000001,3.5166666666666666
2,Free Agent,T.Morstead,NO,0,0.0,0.0,0.0,1,0.0,0.0,1,0.75,0.5,0.0,-0.125,0.2333333333333334,3.3583333333333334
2,Free Agent,J.Schum,TB,0,0.0,0.25,0.0,0,0.0,0.0,1,0.75,0.0,0.0,-0.6333333333333336,-0.9,0.46666666666666623
2,Free Agent,B.Pinion,SF,0,0.0,0.25,0.3,0,0.0,0.0,1,0.0,0.0,0.0,-0.225,0.7000000000000001,2.025
2,Free Agent,J.Berry,PIT,0,0.0,0.25,0.0,1,0.75,0.0,2,0.0,0.0,0.0,0.2333333333333336,-0.35000000000000003,3.8833333333333333
2,Ralph,M.King,OAK,0,0.4,0.0,0.0,1,0.75,0.5,1,0.75,0.0,0.0,1.4000000000000001,0,5.800000000000001
2,Free Agent,S.Koch,BAL,0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.1,-0.65,0.45000000000000007
2,Free Agent,M.Darr,MIA,0,0.4,0.5,0.0,4,0.0,0.0,0,0.0,0.0,0.0,0.31666666666666643,0.16666666666666663,5.383333333333334
2,David,B.Anger,JAC,0,0.4,0.25,0.15,3,0.0,0.0,1,0.75,0.0,0.0,0.02857142857142847,-0.06666666666666661,5.511904761904762
2,Free Agent,C.Jones,DAL,0,0.4,0.5,0.15,3,1.5,0.0,2,0.0,0.0,0.0,0.75,0.1,8.4
2,Free Agent,D.Jones,PHI,-2,0.0,0.75,0.0,3,0.0,0.0,1,0.0,0.0,0.0,0.5333333333333335,-0.8500000000000001,2.4333333333333336
2,Free Agent,J.Ryan,SEA,0,0.4,1.0,0.0,1,0.0,0.0,2,0.75,0.0,0.0,-0.47999999999999976,0,4.670000000000001
2,Free Agent,T.Masthay,GB,0,0.0,0.0,0.15,0,0.0,0.0,0,0.0,0.0,0.0,0.13333333333333358,0.2,0.48333333333333356
2,Free Agent,P.McAfee,IND,0,0.0,0.5,0.15,2,0.0,0.0,1,0.75,0.0,0.0,0.46666666666666645,0,4.866666666666667
2,Free Agent,R.Quigley,NYJ,0,0.0,0.75,0.3,0,0.0,0.0,3,1.5,0.0,0.0,-1.1,0,4.449999999999999
