Week,Owner,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards
11,Free Agent,M.Darr,MIA,10,453,0,0,2,2,2,0,0,2,2,1,0,5,27
11,Free Agent,B.Pinion,SF,8,333,0,1,3,0,0,0,0,0,0,0,0,4,46
11,Free Agent,R.Allen,NE,5,216,0,1,0,2,1,0,0,1,1,0,0,1,9
11,Free Agent,J.Ryan,SEA,6,279,0,0,1,0,2,0,0,3,1,1,0,2,15
11,Free Agent,D.Jones,PHI,7,344,0,2,1,1,5,1,0,0,0,0,0,4,46
11,Free Agent,J.Schum,GB,3,138,0,0,1,0,1,0,0,1,1,0,0,1,8
11,Free Agent,T.Way,WAS,3,114,0,0,1,1,0,0,0,1,0,0,0,1,10
11,Free Agent,M.King,OAK,3,159,0,0,0,1,2,0,0,1,0,0,0,2,10
11,Free Agent,S.Lechler,HOU,3,156,0,1,0,0,2,1,0,0,0,0,0,2,27
12,Free Agent,S.Martin,DET,4,168,0,0,2,0,1,0,0,2,0,0,0,2,0
12,Free Agent,J.Locke,MIN,4,195,0,0,2,1,3,0,0,3,1,1,0,1,3
12,Free Agent,C.Jones,DAL,2,88,0,0,1,0,2,0,0,2,0,0,0,1,6
12,Free Agent,T.Way,WAS,1,39,0,0,1,0,0,0,0,1,0,0,0,0,0
12,Free Agent,P.McAfee,IND,2,92,0,0,2,0,1,0,0,0,0,0,0,0,0
12,Free Agent,J.Berry,PIT,4,177,0,1,3,0,2,0,0,1,0,0,0,0,0
12,Free Agent,M.Wile,ATL,2,116,0,0,0,0,2,0,0,0,0,0,0,2,12
12,Free Agent,D.Butler,ARI,4,166,0,0,1,0,1,0,0,1,0,0,0,2,6
12,Free Agent,K.Huber,CIN,6,283,0,1,1,0,2,2,0,1,0,0,0,3,49
12,Free Agent,S.Koch,BAL,5,222,0,0,1,1,1,1,0,4,2,0,0,1,11
12,Free Agent,C.Schmidt,BUF,6,264,0,0,1,1,2,0,0,0,0,0,0,3,24
12,Free Agent,B.Nortman,JAX,6,273,0,2,1,1,1,1,0,2,1,0,0,2,43
12,Free Agent,B.Kern,TEN,4,177,0,0,3,0,0,0,0,2,0,0,0,1,4
12,Free Agent,P.O'Donnell,CHI,4,182,0,0,3,0,1,0,0,0,0,0,0,1,8
12,Free Agent,B.Wing,NYG,9,427,0,1,0,1,4,0,0,5,3,1,0,3,5
12,Free Agent,B.Colquitt,CLE,8,362,0,0,0,0,3,0,0,2,0,0,0,6,42
12,Free Agent,D.Kaser,SD,6,292,0,1,1,1,4,0,0,3,1,0,0,3,27
12,Free Agent,S.Lechler,HOU,4,189,0,1,2,0,2,0,0,1,1,0,0,1,11
12,Free Agent,M.Darr,MIA,5,209,0,1,3,0,1,0,0,1,0,0,0,1,2
12,Free Agent,B.Pinion,SF,4,189,0,0,1,0,1,0,0,1,1,0,0,3,6
12,Free Agent,T.Morstead,NO,4,179,0,2,1,0,1,0,0,2,1,0,0,1,8
12,Free Agent,J.Hekker,LA,6,294,0,0,3,0,2,1,0,2,1,0,0,2,8
12,Free Agent,J.Ryan,SEA,7,330,0,0,1,2,2,0,0,1,1,1,0,2,48
12,Free Agent,B.Anger,TB,4,160,0,0,1,0,1,0,0,4,3,1,0,1,0
12,Free Agent,R.Dixon,DEN,6,271,0,0,1,2,2,0,0,3,0,0,0,2,28
12,Free Agent,D.Colquitt,KC,9,431,0,1,3,0,3,1,0,5,1,0,0,5,14
12,Free Agent,M.Palardy,CAR,6,280,0,0,0,0,1,0,0,1,0,0,0,5,34
12,Free Agent,M.King,OAK,5,240,0,0,3,1,2,0,0,3,1,0,0,1,0
12,Free Agent,R.Allen,NE,4,183,0,0,2,0,1,0,0,1,0,0,0,2,10
12,Free Agent,L.Edwards,NYJ,4,178,0,0,2,0,1,0,0,1,0,0,0,2,8
12,Free Agent,D.Jones,PHI,2,71,0,0,0,1,0,0,0,2,0,0,0,2,11
12,Free Agent,J.Schum,GB,1,43,0,0,0,0,0,0,0,1,1,1,1,0,0
13,Free Agent,C.Jones,DAL,6,277,0,0,1,1,1,0,0,3,1,0,0,3,-5
13,Free Agent,J.Locke,MIN,7,224,0,0,2,2,0,0,0,3,1,0,0,2,1
13,Free Agent,M.Bosher,ATL,1,46,0,0,0,0,0,0,0,1,0,0,0,1,-1
13,Free Agent,D.Colquitt,KC,3,150,0,2,0,0,1,1,0,0,0,0,0,1,-1
13,Free Agent,M.Darr,MIA,6,222,0,0,1,1,0,0,0,3,0,0,0,3,3
13,Free Agent,S.Koch,BAL,3,93,0,0,2,1,0,0,0,2,1,0,0,0,0
13,Free Agent,B.Pinion,SF,8,308,0,0,6,0,0,0,0,2,1,0,0,1,3
13,Free Agent,P.O'Donnell,CHI,6,233,0,2,2,0,1,0,0,2,1,1,0,1,25
13,Free Agent,D.Jones,PHI,3,118,0,0,0,0,0,0,0,2,2,1,0,2,9
13,Free Agent,K.Huber,CIN,1,49,0,0,0,0,0,0,0,0,0,0,0,1,7
13,Free Agent,S.Lechler,HOU,5,205,0,0,1,0,2,0,0,2,1,1,0,3,44
13,Free Agent,J.Schum,GB,5,215,0,1,1,1,0,0,0,3,0,0,0,1,16
13,Free Agent,R.Dixon,DEN,11,506,0,2,3,0,3,0,0,3,2,1,0,4,17
13,Free Agent,B.Nortman,JAX,8,369,0,0,3,0,3,1,0,4,1,0,0,4,40
13,Free Agent,J.Hekker,LA,8,430,0,0,0,1,5,2,1,5,1,0,0,6,7
13,Free Agent,R.Allen,NE,6,247,0,0,1,0,0,0,0,2,1,0,0,4,8
13,Free Agent,S.Martin,DET,2,85,0,0,1,0,1,0,0,1,0,0,0,1,24
13,Free Agent,T.Morstead,NO,4,162,0,0,0,2,1,0,0,2,1,0,0,0,0
13,Free Agent,M.King,OAK,5,221,0,1,1,0,2,1,0,2,1,1,0,0,0
13,Free Agent,C.Schmidt,BUF,5,199,0,0,0,3,0,0,0,1,0,0,0,2,17
13,Free Agent,T.Way,WAS,2,89,0,0,1,0,1,0,0,1,0,0,0,1,13
13,Free Agent,D.Butler,ARI,3,119,0,0,0,1,1,0,0,0,0,0,0,2,17
13,Free Agent,J.Berry,PIT,4,148,0,0,1,2,0,0,0,2,1,0,0,1,1
13,Free Agent,B.Wing,NYG,4,177,0,1,1,0,1,0,0,0,0,0,0,0,0
13,Free Agent,B.Anger,TB,2,108,0,0,1,0,2,0,0,1,1,0,0,1,12
13,Free Agent,D.Kaser,SD,3,127,0,0,0,0,0,0,0,0,0,0,0,3,21
13,Free Agent,M.Palardy,CAR,6,254,0,1,1,0,1,0,0,3,1,0,0,3,12
13,Free Agent,J.Ryan,SEA,1,41,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Free Agent,P.McAfee,IND,2,95,0,0,1,0,1,0,0,2,1,1,0,0,0
13,Free Agent,L.Edwards,NYJ,5,230,0,1,1,1,2,0,0,0,0,0,0,2,36
14,Free Agent,M.King,OAK,8,348,0,0,1,1,2,0,0,0,0,0,0,6,99
14,Free Agent,D.Colquitt,KC,5,168,0,0,4,0,0,0,0,5,1,0,0,1,2
14,Free Agent,C.Schmidt,BUF,6,270,0,1,0,1,2,0,0,1,0,0,0,4,28
14,Free Agent,J.Berry,PIT,2,101,0,1,0,0,1,0,0,1,0,0,0,1,0
14,Free Agent,D.Kaser,SD,3,122,0,0,0,0,0,0,0,0,0,0,0,2,18
14,Free Agent,M.Palardy,CAR,5,215,0,0,1,0,0,0,0,2,1,1,0,3,2
14,Free Agent,B.Colquitt,CLE,6,276,0,0,2,1,2,0,0,0,0,0,0,3,47
14,Free Agent,K.Huber,CIN,5,248,0,2,2,0,2,1,1,2,1,1,0,0,0
14,Free Agent,S.Martin,DET,2,102,0,1,0,0,1,0,0,1,1,1,0,0,0
14,Free Agent,P.O'Donnell,CHI,4,188,0,1,1,1,2,0,0,2,1,0,0,1,7
14,Free Agent,P.McAfee,IND,2,81,0,1,1,0,0,0,0,0,0,0,0,0,0
14,Free Agent,S.Lechler,HOU,3,156,0,0,1,0,2,0,0,3,0,0,0,2,4
14,Free Agent,B.Nortman,JAX,4,163,0,0,0,2,1,0,0,1,0,0,0,1,9
